Date,Open,Adj Close,Volume,returns,range,ma_12,ma_21,hmm_predictions,ma_signal,hmm_signal,combined_signal,lrets_bench,lrets_bench_prod,lrets_bench_prod_exp,lrets_strat,lrets_strat_prod,lrets_strat_prod_exp
2023-09-19,26760.8515625,27211.1171875,13807690550,0.017075246134672373,0.03025148558134405,26256.17626953125,26167.989211309523,1,1.0,1,0.0,0.016931102662432373,0.10755368824390277,0.11355064372025847,0.0,-0.37273778782795197,-0.311154167072791
2023-09-20,27210.228515625,27132.0078125,13281116604,-0.00290724465500225,0.019186355503434838,26358.372395833332,26160.119791666668,1,1.0,1,1.0,-0.0029114788993918343,0.10464220934451093,0.11031327956322845,-0.0029587276183513224,-0.3756965154463033,-0.31318926213286546
2023-09-21,27129.83984375,26567.6328125,13371443708,-0.02080107760178318,0.028937434841683096,26414.36865234375,26190.413132440477,3,1.0,0,1.0,-0.021020467716698094,0.08362174162781284,0.08721756687274329,-0.02107517545497295,-0.39677169090127623,-0.32751245686785513
2023-09-22,26564.056640625,26579.568359375,10578746709,0.0004492514240630463,0.008701275045402967,26476.647135416668,26227.500930059523,0,1.0,1,0.0,0.0004491505408555205,0.08407089216866837,0.08770600091292735,0.0,-0.39677169090127623,-0.32751245686785513
2023-09-23,26578.556640625,26579.390625,7404700301,-6.686879658768241e-06,0.0042859648918665005,26594.70849609375,26261.33863467262,0,1.0,1,1.0,-6.686902016047694e-06,0.08406420526665231,0.08769872755379504,3.0716254559300304e-05,-0.3967409746467169,-0.32749180025204694
2023-09-24,26579.373046875,26256.826171875,8192867686,-0.01213588594546644,0.01887825993815495,26629.998697916668,26275.017671130954,1,1.0,1,1.0,-0.012210127075315798,0.07185407819133652,0.07449853985317323,-0.012325662505014027,-0.40906663715173097,-0.3357300342111653
2023-09-25,26253.775390625,26298.48046875,11997833257,0.0015864178176880905,0.015763779678915624,26635.845052083332,26298.163597470237,1,1.0,1,1.0,0.001585160786217759,0.07343923897755428,0.07620314348187618,0.0015597934970181127,-0.40750684365471285,-0.3346931017482414
2023-09-26,26294.7578125,26217.25,9985498161,-0.0030887894396227633,0.011466604084532372,26608.976399739582,26318.985863095237,1,1.0,1,1.0,-0.003093569595525136,0.07034566938202914,0.07287897857740044,-0.0032477306523468557,-0.4107545743070597,-0.33685033440343914
2023-09-27,26209.498046875,26352.716796875,11718380997,0.005167086436411061,0.027052367890960216,26587.64501953125,26347.532552083332,1,1.0,1,1.0,0.005153782852789497,0.07549945223481865,0.07842263699551832,0.005566972951330185,-0.4051876013557295,-0.3331483031593362
2023-09-28,26355.8125,27021.546875,14079002707,0.02537992888096885,0.035407236823021826,26625.417154947918,26384.739769345237,1,1.0,1,1.0,0.02506320623495958,0.10056265846977823,0.10579292682609154,0.025067670656807928,-0.3801199306989216,-0.31622060184649636
2023-09-29,27024.841796875,26911.720703125,10396435377,-0.004064392478456136,0.018867535628108723,26656.878255208332,26432.64769345238,1,1.0,1,1.0,-0.004072674570297436,0.0964899838994808,0.10129855037156954,-0.004195765175337932,-0.3843156958742595,-0.3190835692633114
2023-09-30,26911.689453125,26967.916015625,5331172801,0.0020881352448591795,0.007543099691206923,26674.68115234375,26483.70665922619,0,1.0,1,1.0,0.002085958120685116,0.09857594202016591,0.10359821068971264,0.0020678543494590707,-0.38224784152480046,-0.31767407644972356
2023-10-01,26967.396484375,27983.75,9503917434,0.037668241913332734,0.040131309806775706,26739.067220052082,26586.16015625,0,1.0,1,1.0,0.036976120856382695,0.1355520628765486,0.14516881506509405,0.036746954676622014,-0.3455008868481784,-0.29213429596583107
2023-10-02,27976.798828125,27530.78515625,19793041322,-0.016186709920936293,0.04192923801892956,26772.298665364582,26698.928292410714,3,1.0,0,1.0,-0.01631914578851585,0.11923291708803277,0.126632299645133,-0.01688952272126125,-0.3623904095694397,-0.30398941440102034
2023-10-03,27508.251953125,27429.978515625,11407814187,-0.003661597010505724,0.016578094530640408,26844.160807291668,26774.958519345237,1,1.0,1,0.0,-0.0036683170659445614,0.11556460002208821,0.12250702618481313,-0.0,-0.3623904095694397,-0.30398941440102034
2023-10-04,27429.07421875,27799.39453125,11143355314,0.013467601347721292,0.021232769193385792,26945.81298828125,26849.771391369046,1,1.0,1,1.0,0.013377719302482879,0.1289423193245711,0.1376245033234864,0.013383778202514539,-0.34900663136692517,-0.2946115474352091
