,base_asset,compared_asset,label,hedge_ratio
322,FLN,FNK,1,0.44121703782368515
323,FLN,FTXN,1,0.8079292369325916
324,FLN,NFTY,1,0.43053770496483673
325,FLN,PSCC,1,0.598198743677365
326,FLN,PSCI,1,0.20956419321621336
327,FLN,PXI,1,0.48677863171040703
328,FLN,QVAL,1,0.5569273280265239
333,FNK,NFTY,1,0.9741462188237779
334,FNX,PRFZ,1,2.9866207331315797
335,FNX,PSCT,1,2.135876475261581
336,FNY,XT,1,1.161446872178665
386,GRID,PSCC,1,2.6182480195031728
342,FTC,IUSG,1,1.0848958434654885
379,FYT,PSC,1,1.1321933137455367
378,FYT,NFTY,1,1.052139006242934
377,FYC,PSCD,1,0.7029318707443599
376,FV,RDVY,1,1.0200085248447424
375,FV,PSCC,1,1.3933966349103148
374,FV,PRFZ,1,1.4436880926779485
373,FV,PHO,1,0.871940007664652
360,FTXL,PRN,1,0.6182191746899695
361,FTXL,PSET,1,1.152756425652181
362,FTXL,QQQ,1,0.1891277573756215
363,FTXL,RTH,1,0.3635707454053987
364,FTXL,VONE,1,0.3178940116807986
365,FTXL,VONG,1,0.9447060626126589
437,IUSG,RTH,1,0.5608964095848413
268,FBZ,XT,1,0.20507771082987686
267,FBZ,VTWG,1,0.05948881914931521
266,FBZ,VONG,1,0.17862148557505447
235,FBZ,PSC,1,0.2726884868179159
236,FBZ,PSCC,1,0.35477497151798254
237,FBZ,PSCD,1,0.12465475428383997
238,FBZ,PSCE,1,0.16448291762415373
239,FBZ,PSCH,1,0.21215105256866995
240,FBZ,PSCI,1,0.12422011058896962
241,FBZ,PSCM,1,0.1765615067868676
242,FBZ,PSCT,1,0.263296487528879
243,FBZ,PSET,1,0.22219646640745983
244,FBZ,PTF,1,0.2588557376927348
245,FBZ,PTH,1,0.2485153387884772
246,FBZ,PTNQ,1,0.2119031260872667
247,FBZ,PXI,1,0.28456779891002504
248,FBZ,QCLN,1,0.2019708511253097
233,FBZ,PRFZ,1,0.36744042982357816
249,FBZ,QMOM,1,0.24217895198531003
251,FBZ,QQQ,1,0.03536371653818318
252,FBZ,QQQE,1,0.15816434850665656
253,FBZ,QTEC,1,0.08219218419820526
254,FBZ,QVAL,1,0.3295646782471615
180,EWZS,PTNQ,1,0.2902567570814114
256,FBZ,RING,1,0.4270888273130691
257,FBZ,RTH,1,0.06927536511340517
258,FBZ,SKYY,1,0.13310789712588245
259,FBZ,SMH,1,0.0945400812811297
261,FBZ,SOCL,1,0.2254758750591107
262,FBZ,SOXX,1,0.027763902733724522
263,FBZ,TDIV,1,0.21751539558248645
264,FBZ,TUR,1,0.3574581214554968
265,FBZ,VONE,1,0.06126375390807095
250,FBZ,QQEW,1,0.11335438220535039
179,EWZS,PTH,1,0.34246538384570113
183,EWZS,QCLN,1,0.2777599676701832
177,EWZS,PSET,1,0.30426838366034437
484,PRN,QQQ,1,0.30265300970162046
483,PRN,QQEW,1,0.9560280067156937
482,PRN,PTNQ,1,1.7851279451913515
481,PRFZ,RDVY,1,0.70559816195167
58,CIBR,DWAS,1,0.558520613621246
59,CIBR,ESGU,1,0.47676284800395935
60,CIBR,FTC,1,0.4346145894120173
61,CIBR,FTXL,1,0.723262619423768
62,CIBR,FV,1,0.9674145296877842
63,CIBR,IUSG,1,0.47265296198198825
64,CIBR,KRMA,1,1.4645165269708422
65,CIBR,ONEQ,1,0.8815326846268554
66,CIBR,PRN,1,0.4508183178766736
67,CIBR,QQQ,1,0.13721434430537013
68,CIBR,RDVY,1,0.987701265128063
69,CIBR,RTH,1,0.2651156445534329
70,CIBR,SOXX,1,0.10974603825370699
92,DGRS,FNX,1,0.46361076821264646
463,ONEQ,PRN,1,0.5107492687503636
464,ONEQ,PTF,1,1.1529260601009774
465,ONEQ,QQEW,1,0.48985043159179037
466,PDP,PTF,1,1.9280214944084255
467,PDP,XT,1,1.491300769557154
485,PRN,QQQE,1,1.3348444188382071
473,PHO,PSET,1,0.9950895246656369
475,PHO,TDIV,1,0.9741855094129792
479,PKW,PRFZ,1,2.748037352858354
480,PKW,RDVY,1,1.9421311650412254
178,EWZS,PTF,1,0.35509474170203503
72,CIBR,VONE,1,0.2321607098630522
71,CIBR,TDIV,1,0.8247566310734493
474,PHO,SOXX,1,0.12909829372917137
93,DGRS,NFTY,1,0.9465360607548801
52,CATH,TDIV,1,0.9561634946118707
50,CATH,PHO,1,0.9800074387113792
515,TDIV,VONE,1,0.2813457599706087
512,SOXX,VONG,1,6.149287464479896
511,SOXX,VONE,1,2.0620628479495977
510,SOXX,TDIV,1,7.337096202460164
504,QQQ,SOXX,1,0.8029273608358529
503,QMOM,RTH,1,0.2860653577713951
501,PTNQ,SOXX,1,0.13528306055110395
500,PTF,XT,1,0.7546888090688282
499,PTF,QQQE,1,0.5870470729934438
498,PTF,QQEW,1,0.42028539303300994
497,PSET,TDIV,1,0.9790332268929431
496,PSET,SOXX,1,0.12937119558112836
495,PSET,SMH,1,0.4414990814210646
27,BIB,BTEC,1,1.6183929104503647
28,BIB,FINX,1,2.16166899873418
29,BIB,PNQI,1,1.9460211003072214
30,BIB,SOCL,1,1.5245506343850248
49,CATH,FTXL,1,0.8339093312216781
48,CATH,CIBR,1,1.1545739818146314
47,CARZ,PSCD,1,0.5622939205430106
46,BTEC,SOCL,1,0.9423140279429298
45,BTEC,FINX,1,1.3368216008009886
486,PRN,SMH,1,0.8247544115502365
51,CATH,SOXX,1,0.12625950955629134
487,PRN,SOXX,1,0.24167503539405794
489,PRN,VONG,1,1.5175381177488982
490,PSCC,PSCI,1,0.3457844260227815
491,PSCE,RING,1,1.997070413539624
492,PSCT,RDVY,1,0.9860706978869781
493,PSCT,VONE,1,0.23137893470109253
494,PSET,PTNQ,1,0.9573609047463542
488,PRN,TDIV,1,1.8258300021147473
94,DGRS,PRFZ,1,1.381270231503213
73,CIBR,VONG,1,0.6872258436248349
165,EWZS,PKW,1,0.1845564830952738
164,EWZS,PHO,1,0.3046267141395186
163,EWZS,PGJ,1,0.3196838449815564
162,EWZS,PEZ,1,0.20551072214607013
161,EWZS,PDP,1,0.18967495706935417
160,EWZS,ONEQ,1,0.314277087887548
159,EWZS,NFTY,1,0.34873938857820885
158,EWZS,MILN,1,0.4481491640019336
157,EWZS,KRMA,1,0.5315939658969224
450,KRMA,PSCT,1,0.6822051760391175
156,EWZS,KBWR,1,0.2710509998656236
155,EWZS,JSML,1,0.27123337677797
154,EWZS,JSMD,1,0.2571387244740136
153,EWZS,IUSG,1,0.16947054650020085
152,EWZS,IJT,1,0.13074759853521295
151,EWZS,ICLN,1,0.791638205884611
150,EWZS,GRID,1,0.1812154087875701
149,EWZS,FYX,1,0.1857093425584599
148,EWZS,FYT,1,0.3300752597177725
147,EWZS,FYC,1,0.2459672323520372
146,EWZS,FV,1,0.3494884573487782
145,EWZS,FTXN,1,0.6438080548440273
144,EWZS,FTXL,1,0.25425845003378295
95,DGRS,PSC,1,1.0180855519998042
143,EWZS,FTC,1,0.15734269274085008
142,EWZS,FNY,1,0.24281173964520786
141,EWZS,FNX,1,0.17029972214679215
140,EWZS,FNK,1,0.35765857967033454
136,ESGU,FTXL,1,1.5106990870646706
137,ESGU,SOXX,1,0.22880867592053836
138,EWZS,FAD,1,0.14866031458997875
166,EWZS,PNQI,1,0.4010087036390937
139,EWZS,FINX,1,0.4439974061741371
168,EWZS,PRN,1,0.1628910292593797
102,DWAS,IJT,1,0.6381721999504175
104,DWAS,KRMA,1,2.6143978981595914
105,DWAS,PSCD,1,0.8500063891176062
106,DWAS,PSCT,1,1.7886044623045838
175,EWZS,PSCM,1,0.24188285657195618
167,EWZS,PRFZ,1,0.5030310412701653
174,EWZS,PSCI,1,0.17011942356392423
107,DWAS,VONE,1,0.4141045277995282
101,DWAS,FTC,1,0.7760012582384157
108,DWAS,XT,1,1.3880161689287398
103,DWAS,IUSG,1,0.8414212673540538
100,DWAS,FAD,1,0.7325404300064398
460,NFTY,PSCM,1,0.6945263417929786
173,EWZS,PSCH,1,0.29252340275589483
459,NFTY,PSCI,1,0.48830196089859373
458,MILN,SKYY,1,0.4111866455963995
172,EWZS,PSCE,1,0.2249402474287415
461,NFTY,QVAL,1,1.286980671400376
171,EWZS,PSCD,1,0.17132144884576517
170,EWZS,PSCC,1,0.48489249977854854
169,EWZS,PSC,1,0.374090273945912
99,DWAS,ESGU,1,0.8501401015906943
